Sequence 1,Sequence 2,LCS Value,Time (s)
Seq2,Seq88,1300,1.27361
Seq2,Seq85,2,1.36405
Seq2,Seq86,0,1.36614
Seq2,Seq87,0,1.37986
Seq2,Seq92,0,1.30503
Seq2,Seq90,0,1.37775
Seq2,Seq93,0,1.33047
Seq2,Seq89,0,1.38243
Seq2,Seq91,0,1.37287
Seq2,Seq94,0,1.32063
Seq2,Seq95,0,1.30294
Seq2,Seq96,0,1.36353
Seq2,Seq105,0,0.61482
Seq2,Seq106,0,0.62386
Seq2,Seq107,0,0.62433
Seq2,Seq108,0,0.62992
Seq2,Seq104,0,0.77177
Seq2,Seq109,0,0.74919
Seq2,Seq97,0,1.36903
Seq2,Seq110,0,0.73449
Seq2,Seq98,0,1.36687
Seq2,Seq111,0,0.76737
Seq2,Seq112,0,0.72222
Seq2,Seq99,0,1.36544
Seq2,Seq124,0,0.15385
Seq2,Seq100,0,1.34669
Seq2,Seq101,0,1.35519
Seq2,Seq102,0,1.31435
Seq2,Seq125,0,0.15382
Seq2,Seq126,0,0.15388
Seq2,Seq115,0,0.64919
Seq2,Seq114,0,0.65575
Seq2,Seq103,0,1.36096
Seq2,Seq116,0,0.69224
Seq2,Seq113,0,0.75346
Seq2,Seq127,0,0.15304
Seq2,Seq128,0,0.15429
Seq2,Seq118,0,0.69446
Seq2,Seq117,0,0.72521
Seq2,Seq119,0,0.68868
Seq2,Seq120,0,0.69009
Seq2,Seq123,0,0.61817
Seq2,Seq121,0,0.76662
Seq2,Seq122,0,0.76743
Seq2,Seq130,0,0.60644
Seq2,Seq131,0,0.622
Seq2,Seq132,0,0.62345
Seq2,Seq133,0,0.63272
Seq2,Seq129,0,0.77081
Seq2,Seq135,0,0.73083
Seq2,Seq134,0,0.74884
Seq2,Seq139,0,0.65764
Seq2,Seq140,0,0.64774
Seq2,Seq137,0,0.73083
Seq2,Seq136,0,0.76782
Seq2,Seq141,0,0.69717
Seq2,Seq138,0,0.75382
Seq2,Seq142,0,0.72025
Seq2,Seq155,0,0.15453
Seq2,Seq143,0,0.69422
Seq2,Seq144,0,0.6888
Seq2,Seq148,0,0.61851
Seq2,Seq145,0,0.68944
Seq2,Seq146,0,0.75976
Seq2,Seq147,0,0.76661
Seq2,Seq149,0,0.69238
Seq2,Seq154,0,0.61876
Seq2,Seq153,0,0.65121
Seq2,Seq152,0,0.65728
Seq2,Seq156,0,0.5937
Seq2,Seq150,0,0.72258
Seq2,Seq151,0,0.73461
Seq2,Seq163,0,0.44308
Seq2,Seq162,0,0.45276
Seq2,Seq164,0,0.4437
Seq2,Seq158,0,0.84916
Seq2,Seq159,2,0.84565
Seq2,Seq161,0,0.84798
Seq2,Seq160,0,0.86096
Seq2,Seq166,0,0.44333
Seq2,Seq167,0,0.44671
Seq2,Seq170,0,0.44735
Seq2,Seq168,0,0.47582
Seq2,Seq171,0,0.44308
Seq2,Seq172,0,0.44378
Seq2,Seq174,0,0.43959
Seq2,Seq173,0,0.477
Seq2,Seq165,0,0.87387
Seq2,Seq175,0,0.44497
Seq2,Seq157,0,1.39007
Seq2,Seq177,0,0.46092
Seq2,Seq178,0,0.46062
Seq2,Seq179,0,0.46167
Seq2,Seq180,0,0.4636
Seq2,Seq181,0,0.46054
Seq2,Seq176,0,0.84562
Seq2,Seq169,0,1.318
Seq3,Seq3,1485,1.32508
Seq3,Seq2,1372,1.33492
Seq3,Seq4,1482,1.32627
Seq3,Seq1,1368,1.36449
Seq3,Seq5,1382,1.32474
Seq3,Seq9,1245,1.20612
Seq3,Seq6,1414,1.32337
Seq3,Seq8,1392,1.32466
Seq3,Seq11,1314,1.25748
Seq3,Seq13,1358,1.31244
Seq3,Seq12,1361,1.32533
Seq3,Seq14,1349,1.31776
Seq3,Seq10,1372,1.37534
Seq3,Seq7,0,1.67487
Seq3,Seq15,1376,1.35756
Seq3,Seq16,1330,1.29512
Seq3,Seq21,1246,1.18658
Seq3,Seq20,1405,1.36848
Seq3,Seq23,1239,1.18677
Seq3,Seq22,1288,1.24363
Seq3,Seq24,1286,1.24116
Seq3,Seq25,1285,1.23391
Seq3,Seq26,1329,1.29411
Seq3,Seq27,1332,1.29535
Seq3,Seq29,1358,1.33263
Seq3,Seq28,1364,1.37711
Seq3,Seq18,1352,1.80139
Seq3,Seq17,1364,1.81352
Seq3,Seq19,1355,1.8057
Seq3,Seq30,1225,1.33694
Seq3,Seq32,1327,1.25449
Seq3,Seq31,1352,1.33227
Seq3,Seq33,1239,1.1634
Seq3,Seq35,1299,1.25229
Seq3,Seq34,1396,1.37439
Seq3,Seq36,1389,1.30853
Seq3,Seq38,1362,1.29041
Seq3,Seq37,1360,1.29632
Seq3,Seq39,1358,1.29829
Seq3,Seq40,1364,1.29735
Seq3,Seq41,1361,1.29361
Seq3,Seq44,1407,1.25169
Seq3,Seq42,1358,1.2974
Seq3,Seq45,1382,1.24466
Seq3,Seq43,1347,1.30376
Seq3,Seq46,1386,1.24649
Seq3,Seq48,1288,1.22741
Seq3,Seq47,1303,1.24228
Seq3,Seq50,1285,1.23177
Seq3,Seq51,1293,1.23946
Seq3,Seq52,1482,1.32488
Seq3,Seq53,1408,1.35867
Seq3,Seq54,1371,1.37821
Seq3,Seq56,1320,1.31482
Seq3,Seq57,1328,1.29634
Seq3,Seq61,1390,1.25556
Seq3,Seq59,1347,1.30962
Seq3,Seq60,1346,1.31908
Seq3,Seq58,1366,1.32722
Seq3,Seq55,1377,1.43885
